Date,date,ABMI,YBHA,KTMS,KTMR,KTMQ,KTMW,KTMU,KTMT,KTMZ,KTMY,KTMX,KTNC,KTNB,KTMW_gdp,KTMX_gdp,KTMU_gdp,KTMY_gdp,KTMS_gdp,KTMQ_gdp,KTMR_gdp,KTNC_gdp,KTMZ_gdp,KTMT_gdp,KTNB_gdp
1948,1948,365418,11425,-64,641,577,2240,18816,25555,43345,-216,2456,806,42539,.19606127,.21496718,1.6469146,-.018905908,-.0056017507,.050503284,.056105033,.070547044,3.7938731,2.2367616,3.723326
1949,1949,377558,12168,-43,695,652,2543,19991,27813,47854,-181,2724,2163,45691,.2089908,.22386588,1.6429158,-.014875082,-.0035338593,.053583167,.05711703,.17776135,3.9327745,2.2857494,3.7550132
1950,1950,390150,12737,-4,759,755,3048,19962,31140,54384,-59,3107,8424,45960,.23930281,.24393499,1.567245,-.004632174,-.0003140457,.059276126,.059590172,.66138023,4.2697654,2.4448457,3.6083851
1951,1951,404591,14298,32,901,933,3712,20961,30398,53652,-661,4373,4689,48963,.25961673,.30584696,1.4660093,-.046230242,.0022380752,.065253884,.063015804,.32794797,3.752413,2.1260316,3.4244649
1952,1952,410688,15528,123,885,1008,3825,19171,29322,52366,-151,3976,7154,45212,.24632922,.25605357,1.2346084,-.0097243693,.0079211751,.064914994,.056993816,.46071613,3.3723595,1.8883307,2.9116435
1953,1953,433512,16675,122,902,1024,3753,20362,30195,54392,-124,3877,5780,48612,.22506747,.23250374,1.2211094,-.007436282,.0073163416,.061409295,.054092955,.3466267,3.261889,1.8107946,2.9152625
1954,1954,452371,17589,114,965,1079,3908,20835,31846,57276,-99,4007,7022,50254,.22218432,.22781284,1.1845472,-.0056285178,.0064813234,.06134516,.054863837,.39922678,3.2563534,1.8105634,2.8571267
1955,1955,470517,19160,41,1086,1127,4254,25370,31963,61014,-277,4531,5994,55020,.22202505,.23648225,1.3241128,-.014457203,.0021398747,.05882046,.056680586,.31283924,3.1844468,1.668215,2.8716075
1956,1956,478458,20832,25,1220,1245,4684,25463,31225,63538,69,4615,8530,55008,.22484639,.22153418,1.2223022,.0033122119,.0012000768,.059763826,.058563747,.40946621,3.0500193,1.4988959,2.640553
1957,1957,487920,22093,120,1232,1352,4925,24503,32605,64949,81,4844,8749,56200,.22292128,.21925497,1.1090844,.0036663197,.0054315845,.061195854,.055764269,.39600778,2.9398,1.4758068,2.5437922
1958,1958,494469,23210,117,1201,1318,4788,25019,33086,63801,139,4649,7149,56652,.20629039,.20030159,1.0779406,.0059887981,.0050409306,.056785867,.051744938,.3080138,2.7488582,1.4255062,2.4408445
1959,1959,515587,24378,116,1235,1351,4938,25456,33839,65321,-13,4951,5159,60162,.20255968,.20309295,1.0442202,-.00053326768,.0047583887,.055418819,.050660431,.21162523,2.6795061,1.3880959,2.467881
1960,1960,548182,26189,36,1411,1447,5248,28280,36118,68852,-382,5630,1715,67137,.20038947,.21497576,1.0798427,-.014586276,.0013746229,.055252206,.053877581,.065485507,2.6290426,1.3791287,2.5635571
1961,1961,562843,27905,48,1470,1518,5485,28280,36843,70742,-112,5597,4309,66433,.19655976,.20057337,1.0134385,-.0040136175,.0017201218,.054398853,.05267873,.15441677,2.5351012,1.3203011,2.3806844
1962,1962,568897,29224,47,1510,1557,5622,28376,36819,71645,-75,5697,4072,67573,.19237612,.19494252,.97098273,-.0025663837,.0016082672,.053278126,.051669862,.13933752,2.451581,1.2598891,2.3122435
1963,1963,596399,31091,1,1582,1583,5978,27717,36370,74779,-141,6119,4964,69815,.19227429,.19680937,.89147985,-.0045350743,.000032163647,.050915055,.050882891,.15966035,2.4051654,1.1697919,2.2455051
1964,1964,630411,34043,-37,1724,1687,6319,29417,37013,76931,-610,6929,-49,76980,.18561819,.2035367,.86411303,-.017918514,-.0010868608,.049554974,.050641835,-.0014393561,2.2598186,1.0872426,2.2612579
1965,1965,643723,36826,-70,1826,1756,6739,29860,36750,79914,-358,7097,2490,77424,.18299571,.19271711,.81084019,-.0097213928,-.0019008309,.047683701,.049584534,.067615271,2.170043,.99793625,2.1024277
1966,1966,653694,39394,39,1915,1954,7302,30400,39240,83720,-105,7407,4605,79115,.18535818,.18802355,.77169114,-.0026653805,.00098999846,.049601462,.048611462,.11689597,2.1251967,.99609077,2.0083008
1967,1967,671765,41684,151,2060,2211,7540,30623,40705,83904,-495,8035,-520,84424,.18088475,.19275981,.73464638,-.01187506,.003622493,.053041935,.04941944,-.012474811,2.0128586,.97651374,2.0253334
1968,1968,708384,45809,333,2286,2619,9156,30533,44019,93986,-437,9593,3437,90549,.19987339,.20941299,.6665284,-.0095396098,.007269314,.057172172,.049902856,.075028926,2.051693,.96092469,1.9766639
1969,1969,721970,49785,382,2524,2906,10279,33432,47952,102844,99,10180,9529,93315,.20646781,.20447926,.67152756,.0019885509,.0076729939,.058370996,.050698001,.19140303,2.0657628,.96318167,1.8743597
1970,1970,741420,56057,443,3039,3482,11748,33777,51285,107967,349,11399,10380,97587,.2095724,.2033466,.60254741,.0062258057,.0079026707,.062115345,.054212678,.18516867,1.9260217,.91487235,1.7408531
